Node	X	Y	Z
15174	0.031092	0.0033853	0.013232
15175	0.037412	0.0068797	0.016152
15176	0.035834	0.0064655	0.015826
15177	0.034248	0.0060492	0.015493
15178	0.032672	0.0056356	0.015156
15179	0.031088	0.0052198	0.014813
15180	0.021908	0.0057957	0.015287
15181	0.0238	0.0052989	0.014879
15182	0.025705	0.004799	0.01446
15183	0.059	0.0013098	0.0099005
15184	0.057426	0.0017229	0.010308
15185	0.055839	0.0021394	0.010713
15186	0.054262	0.0025533	0.011108
15187	0.052672	0.0029705	0.0115
15188	0.051092	0.0033852	0.011883
15189	0.0495	0.0038031	0.012263
15190	0.051422	0.0043075	0.012713
15191	0.053307	0.0048023	0.013146
15192	0.055208	0.0053011	0.013575
15193	0.057096	0.0057968	0.013992
15194	0.059	0.0062964	0.014405
15195	0.04	0.0062964	0.014405
15196	0.041908	0.0057957	0.013991
15197	0.043801	0.0052989	0.013573
15198	0.045706	0.0047989	0.013143
15199	0.047595	0.0043031	0.012709
15200	0.059	0.0072964	0.015208
15201	0.057412	0.0068796	0.014877
15202	0.055834	0.0064654	0.014543
15203	0.054248	0.0060491	0.014202
15204	0.052672	0.0056355	0.013857
15205	0.051088	0.0052198	0.013505
15206	0.049514	0.0048068	0.01315
15207	0.045686	0.0038021	0.012262
15208	0.043794	0.0033054	0.01181
15209	0.041888	0.0028053	0.011346
15210	0.04	0.0023098	0.010876
15211	0.047936	0.0052198	0.013505
15212	0.046347	0.0056355	0.013857
15213	0.044766	0.0060491	0.014202
15214	0.043176	0.0064654	0.014543
15215	0.041593	0.0068796	0.014877
15216	0.04	0.0072964	0.015208
15217	0.059	0.0023246	0.010891
15218	0.057116	0.0028175	0.011357
15219	0.055215	0.003315	0.011819
15220	0.053327	0.0038091	0.012268
15221	0.047908	0.0033852	0.011883
15222	0.046328	0.0029705	0.0115
15223	0.044738	0.0025533	0.011108
15224	0.043161	0.0021394	0.010713
15225	0.041574	0.0017229	0.010308
15226	0.04	0.0013098	0.0099005
15227	0.059	0.0013098	0.011302
15228	0.059	0.0023246	0.012265
15229	0.059	0.0062964	0.015691
15230	0.059	0.0072964	0.016476
15231	0.04	0.0023098	0.012251
15232	0.04	0.0013098	0.011302
15233	0.04	0.0062964	0.015691
15234	0.04	0.0072964	0.016476
15235	0.047908	0.0033853	0.013232
15236	0.046328	0.0029706	0.012858
15237	0.044738	0.0025534	0.012477
15238	0.043161	0.0021395	0.012092
15239	0.041574	0.0017229	0.011699
15240	0.0495	0.0038031	0.013602
15241	0.057116	0.0028176	0.012719
15242	0.055215	0.0033151	0.013169
15243	0.053326	0.0038092	0.013607
15244	0.051422	0.0043075	0.01404
15245	0.047936	0.0052198	0.014813
15246	0.046347	0.0056356	0.015156
15247	0.044766	0.0060492	0.015493
15248	0.043175	0.0064655	0.015826
15249	0.041593	0.0068797	0.016152
15250	0.049514	0.0048068	0.014466
15251	0.045686	0.0038021	0.013601
15252	0.043794	0.0033055	0.01316
15253	0.041888	0.0028054	0.012708
15254	0.047595	0.0043031	0.014037
15255	0.057412	0.0068797	0.016152
15256	0.055834	0.0064655	0.015826
15257	0.054248	0.0060492	0.015493
15258	0.052672	0.0056356	0.015156
15259	0.051088	0.0052198	0.014813
15260	0.041908	0.0057957	0.015287
15261	0.0438	0.0052989	0.014879
15262	0.045705	0.004799	0.01446
15263	0.053307	0.0048023	0.014463
15264	0.055208	0.0053012	0.014881
15265	0.057097	0.0057968	0.015288
15266	0.057426	0.0017229	0.011699
15267	0.055839	0.0021395	0.012092
15268	0.054262	0.0025534	0.012477
15269	0.052672	0.0029706	0.012858
15270	0.051092	0.0033853	0.013232
15271	0.011422	0.10431	0.012713
15272	0.013307	0.1048	0.013146
15273	0.015208	0.1053	0.013575
15274	0.017096	0.1058	0.013992
15275	0.019	0.1063	0.014405
15276	0.019	0.10232	0.010891
15277	0.017116	0.10282	0.011357
15278	0.015215	0.10332	0.011819
15279	0.013327	0.10381	0.012268
15280	0.019	0.10131	0.0099005
15281	0.017426	0.10172	0.010308
15282	0.015839	0.10214	0.010713
15283	0.014262	0.10255	0.011108
15284	0.012672	0.10297	0.0115
15285	0.011092	0.10339	0.011883
15286	0.0095	0.1038	0.012263
15287	0.0079079	0.10339	0.011883
15288	0.0063276	0.10297	0.0115
15289	0.004738	0.10255	0.011108
15290	0.0031608	0.10214	0.010713
15291	0.0015739	0.10172	0.010308
15292	0.0	0.10131	0.0099005
15293	0.019	0.1073	0.015208
15294	0.017412	0.10688	0.014877
15295	0.015834	0.10647	0.014543
15296	0.014248	0.10605	0.014202
15297	0.012672	0.10564	0.013857
15298	0.011088	0.10522	0.013505
15299	0.0095141	0.10481	0.01315
15300	0.0079359	0.10522	0.013505
15301	0.006347	0.10564	0.013857
15302	0.0047664	0.10605	0.014202
15303	0.0031755	0.10647	0.014543
15304	0.0015927	0.10688	0.014877
15305	0.0	0.1073	0.015208
15306	0.0	0.1063	0.014405
15307	0.0019078	0.1058	0.013991
15308	0.0038007	0.1053	0.013573
15309	0.0057057	0.1048	0.013143
15310	0.0075949	0.1043	0.012709
15311	0.0056859	0.1038	0.012262
15312	0.0037936	0.10331	0.01181
15313	0.001888	0.10281	0.011346
15314	-7.8139e-18	0.10231	0.010876
15315	0.0	0.1073	0.016476
15316	0.0	0.1063	0.015691
15317	0.0	0.10131	0.011302
15318	-7.8139e-18	0.10231	0.012251
15319	0.019	0.1063	0.015691
15320	0.019	0.1073	0.016476
15321	0.019	0.10232	0.012265
15322	0.019	0.10131	0.011302
15323	0.0056861	0.1038	0.013601
15324	0.0037939	0.10331	0.01316
15325	0.0018882	0.10281	0.012708
15326	0.0075949	0.1043	0.014037
15327	0.0019077	0.1058	0.015287
15328	0.0038005	0.1053	0.014879
15329	0.0057055	0.1048	0.01446
15330	0.0079357	0.10522	0.014813
15331	0.0063467	0.10564	0.015156
15332	0.0047661	0.10605	0.015493
15333	0.0031753	0.10647	0.015826
15334	0.0015925	0.10688	0.016152
15335	0.0095141	0.10481	0.014466
15336	0.017412	0.10688	0.016152
15337	0.015834	0.10647	0.015826
15338	0.014248	0.10605	0.015493
15339	0.012672	0.10564	0.015156
15340	0.011088	0.10522	0.014813
15341	0.0079081	0.10339	0.013232
15342	0.0063281	0.10297	0.012858
15343	0.0047385	0.10255	0.012477
15344	0.0031613	0.10214	0.012092
15345	0.0015742	0.10172	0.011699
15346	0.0095	0.1038	0.013602
15347	0.017426	0.10172	0.011699
15348	0.015839	0.10214	0.012092
15349	0.014262	0.10255	0.012477
15350	0.012672	0.10297	0.012858
15351	0.011092	0.10339	0.013232
15352	0.017116	0.10282	0.012719
15353	0.015215	0.10332	0.013169
15354	0.013326	0.10381	0.013607
15355	0.011422	0.10431	0.01404
15356	0.013307	0.1048	0.014463
15357	0.015208	0.1053	0.014881
15358	0.017097	0.1058	0.015288
15359	0.02	0.1063	0.014405
15360	0.021908	0.1058	0.013991
15361	0.023801	0.1053	0.013573
15362	0.025706	0.1048	0.013143
15363	0.027595	0.1043	0.012709
15364	0.039	0.10232	0.010891
15365	0.037116	0.10282	0.011357
15366	0.035215	0.10331	0.011819
15367	0.033327	0.10381	0.012268
15368	0.031422	0.10431	0.012713
15369	0.025686	0.1038	0.012262
15370	0.023793	0.10331	0.01181
15371	0.021888	0.10281	0.011346
15372	0.02	0.10231	0.010876
15373	0.039	0.10131	0.0099005
15374	0.037426	0.10172	0.010308
15375	0.035839	0.10214	0.010713
15376	0.034262	0.10255	0.011108
15377	0.032672	0.10297	0.0115
15378	0.031092	0.10339	0.011883
15379	0.0295	0.1038	0.012263
15380	0.027908	0.10339	0.011883
15381	0.026328	0.10297	0.0115
15382	0.024738	0.10255	0.011108
15383	0.023161	0.10214	0.010713
15384	0.021574	0.10172	0.010308
15385	0.02	0.10131	0.0099005
15386	0.039	0.1073	0.015208
15387	0.037412	0.10688	0.014877
15388	0.035834	0.10647	0.014543
15389	0.034247	0.10605	0.014202
15390	0.032672	0.10564	0.013857
15391	0.031088	0.10522	0.013505
15392	0.029514	0.10481	0.01315
15393	0.033307	0.1048	0.013146
15394	0.035208	0.1053	0.013574
15395	0.037096	0.1058	0.013992
15396	0.039	0.1063	0.014405
15397	0.027936	0.10522	0.013505
15398	0.026347	0.10564	0.013857
15399	0.024767	0.10605	0.014202
15400	0.023176	0.10647	0.014543
15401	0.021593	0.10688	0.014877
15402	0.02	0.1073	0.015208
15403	0.039	0.10232	0.012265
15404	0.039	0.10131	0.011302
15405	0.039	0.1073	0.016476
15406	0.039	0.1063	0.015691
15407	0.02	0.10231	0.012251
15408	0.02	0.10131	0.011302
15409	0.02	0.1063	0.015691
