NodeID, BodyID
      320.,  -339073.
      321.,  -339073.
      322.,  -339073.
      323.,  -339073.
      324.,  -339073.
      325.,  -339073.
      326.,  -339073.
      327.,  -339073.
      328.,  -339073.
      329.,  -339073.
      330.,  -339073.
      331.,  -337907.
      332.,  -337907.
      333.,  -337907.
      334.,  -339073.
      335.,  -337915.
      336.,  -337915.
      337.,  -337915.
      338.,  -339073.
      339.,  -337923.
      340.,  -337923.
      341.,  -337923.
      342.,  -339073.
      343.,  -337931.
      344.,  -337931.
      345.,  -337931.
      346.,  -337907.
      347.,  -337907.
      348.,  -337907.
      349.,  -339073.
      350.,  -337915.
      351.,  -337915.
      352.,  -337915.
      353.,  -339073.
      354.,  -337923.
      355.,  -337923.
      356.,  -337923.
      357.,  -339073.
      358.,  -337931.
      359.,  -337931.
      360.,  -337931.
      361.,  -337907.
      362.,  -337907.
      363.,  -337907.
      364.,  -339073.
      365.,  -337915.
      366.,  -337915.
      367.,  -337915.
      368.,  -339073.
      369.,  -337923.
      370.,  -337923.
      371.,  -337923.
      372.,  -339073.
      373.,  -337931.
      374.,  -337931.
      375.,  -337931.
      376.,  -337907.
      377.,  -337907.
      378.,  -337907.
      379.,  -339073.
      380.,  -337915.
      381.,  -337915.
      382.,  -337915.
      383.,  -339073.
      384.,  -337923.
      385.,  -337923.
      386.,  -337923.
      387.,  -339073.
      388.,  -337931.
      389.,  -337931.
      390.,  -337931.
      391.,  -337907.
      392.,  -337907.
      393.,  -337907.
      394.,  -339073.
      395.,  -337915.
      396.,  -337915.
      397.,  -337915.
      398.,  -339073.
      399.,  -337923.
      400.,  -337923.
      401.,  -337923.
      402.,  -339073.
      403.,  -337931.
      404.,  -337931.
      405.,  -337931.
      406.,  -337907.
      407.,  -337907.
      408.,  -337907.
      409.,  -339073.
      410.,  -337915.
      411.,  -337915.
      412.,  -337915.
      413.,  -339073.
      414.,  -337923.
      415.,  -337923.
      416.,  -337923.
      417.,  -339073.
      418.,  -337931.
      419.,  -337931.
      420.,  -337931.
      421.,  -337907.
      422.,  -337907.
      423.,  -337907.
      424.,  -339073.
      425.,  -337915.
      426.,  -337915.
      427.,  -337915.
      428.,  -339073.
      429.,  -337923.
      430.,  -337923.
      431.,  -337923.
      432.,  -339073.
      433.,  -337931.
      434.,  -337931.
      435.,  -337931.
      436.,  -337907.
      437.,  -337907.
      438.,  -337907.
      439.,  -339073.
      440.,  -337915.
      441.,  -337915.
      442.,  -337915.
      443.,  -339073.
      444.,  -337923.
      445.,  -337923.
      446.,  -337923.
      447.,  -339073.
      448.,  -337931.
      449.,  -337931.
      450.,  -337931.
      451.,  -337907.
      452.,  -337907.
      453.,  -337907.
      454.,  -339073.
      455.,  -337915.
      456.,  -337915.
      457.,  -337915.
      458.,  -339073.
      459.,  -337923.
      460.,  -337923.
      461.,  -337923.
      462.,  -339073.
      463.,  -337931.
      464.,  -337931.
      465.,  -337931.
      466.,  -337907.
      467.,  -337907.
      468.,  -337907.
      469.,  -339073.
      470.,  -337915.
      471.,  -337915.
      472.,  -337915.
      473.,  -339073.
      474.,  -337923.
      475.,  -337923.
      476.,  -337923.
      477.,  -339073.
      478.,  -337931.
      479.,  -337931.
      480.,  -337931.
      481.,  -337907.
      482.,  -337907.
      483.,  -337907.
      484.,  -339073.
      485.,  -337915.
      486.,  -337915.
      487.,  -337915.
      488.,  -339073.
      489.,  -337923.
      490.,  -337923.
      491.,  -337923.
      492.,  -339073.
      493.,  -337931.
      494.,  -337931.
      495.,  -337931.
      496.,  -337907.
      497.,  -337907.
      498.,  -337907.
      499.,  -339073.
      500.,  -337915.
      501.,  -337915.
      502.,  -337915.
      503.,  -339073.
      504.,  -337923.
      505.,  -337923.
      506.,  -337923.
      507.,  -339073.
      508.,  -337931.
      509.,  -337931.
      510.,  -337931.
      511.,  -337907.
      512.,  -337907.
      513.,  -337907.
      514.,  -339073.
      515.,  -337915.
      516.,  -337915.
      517.,  -337915.
      518.,  -339073.
      519.,  -337923.
      520.,  -337923.
      521.,  -337923.
      522.,  -339073.
      523.,  -337931.
      524.,  -337931.
      525.,  -337931.
      526.,  -337907.
      527.,  -337907.
      528.,  -337907.
      529.,  -339073.
      530.,  -337915.
      531.,  -337915.
      532.,  -337915.
      533.,  -339073.
      534.,  -337923.
      535.,  -337923.
      536.,  -337923.
      537.,  -339073.
      538.,  -337931.
      539.,  -337931.
      540.,  -337931.
      541.,  -337907.
      542.,  -337907.
      543.,  -337907.
      544.,  -339073.
      545.,  -337915.
      546.,  -337915.
      547.,  -337915.
      548.,  -339073.
      549.,  -337923.
      550.,  -337923.
      551.,  -337923.
      552.,  -339073.
      553.,  -337931.
      554.,  -337931.
      555.,  -337931.
      556.,  -337907.
      557.,  -337907.
      558.,  -337907.
      559.,  -339073.
      560.,  -337915.
      561.,  -337915.
      562.,  -337915.
      563.,  -339073.
      564.,  -337923.
      565.,  -337923.
      566.,  -337923.
      567.,  -339073.
      568.,  -337931.
      569.,  -337931.
      570.,  -337931.
      571.,  -337907.
      572.,  -337907.
      573.,  -337907.
      574.,  -339073.
      575.,  -337915.
      576.,  -337915.
      577.,  -337915.
      578.,  -339073.
      579.,  -337923.
      580.,  -337923.
      581.,  -337923.
      582.,  -339073.
      583.,  -337931.
      584.,  -337931.
      585.,  -337931.
      586.,  -337907.
      587.,  -337907.
      588.,  -337907.
      589.,  -339073.
      590.,  -337915.
      591.,  -337915.
      592.,  -337915.
      593.,  -339073.
      594.,  -337923.
      595.,  -337923.
      596.,  -337923.
      597.,  -339073.
      598.,  -337931.
      599.,  -337931.
      600.,  -337931.
      601.,  -337907.
      602.,  -337907.
      603.,  -337907.
      604.,  -339073.
      605.,  -337915.
      606.,  -337915.
      607.,  -337915.
      608.,  -339073.
      609.,  -337923.
      610.,  -337923.
      611.,  -337923.
      612.,  -339073.
      613.,  -337931.
      614.,  -337931.
      615.,  -337931.
      616.,  -339073.
      617.,  -339073.
      618.,  -339073.
      619.,  -339073.
      620.,  -339073.
      621.,  -339073.
      622.,  -339073.
      623.,  -339073.
      624.,  -339073.
      625.,  -339073.
      626.,  -339073.
      627.,  -339073.
      628.,  -339073.
      629.,  -339073.
      630.,  -339073.
      631.,  -337939.
      632.,  -337939.
      633.,  -337939.
      634.,  -339073.
      635.,  -337947.
      636.,  -337947.
      637.,  -337947.
      638.,  -339073.
      639.,  -337955.
      640.,  -337955.
      641.,  -337955.
      642.,  -339073.
      643.,  -337963.
      644.,  -337963.
      645.,  -337963.
      646.,  -337939.
      647.,  -337939.
      648.,  -337939.
      649.,  -339073.
      650.,  -337947.
      651.,  -337947.
      652.,  -337947.
      653.,  -339073.
      654.,  -337955.
      655.,  -337955.
      656.,  -337955.
      657.,  -339073.
      658.,  -337963.
      659.,  -337963.
      660.,  -337963.
      661.,  -337939.
      662.,  -337939.
      663.,  -337939.
      664.,  -339073.
      665.,  -337947.
      666.,  -337947.
      667.,  -337947.
      668.,  -339073.
      669.,  -337955.
      670.,  -337955.
      671.,  -337955.
      672.,  -339073.
      673.,  -337963.
      674.,  -337963.
      675.,  -337963.
      676.,  -337939.
      677.,  -337939.
      678.,  -337939.
      679.,  -339073.
      680.,  -337947.
      681.,  -337947.
      682.,  -337947.
      683.,  -339073.
      684.,  -337955.
      685.,  -337955.
      686.,  -337955.
      687.,  -339073.
      688.,  -337963.
      689.,  -337963.
      690.,  -337963.
      691.,  -337939.
      692.,  -337939.
      693.,  -337939.
      694.,  -339073.
      695.,  -337947.
      696.,  -337947.
      697.,  -337947.
      698.,  -339073.
      699.,  -337955.
      700.,  -337955.
      701.,  -337955.
      702.,  -339073.
      703.,  -337963.
      704.,  -337963.
      705.,  -337963.
      706.,  -337939.
      707.,  -337939.
      708.,  -337939.
      709.,  -339073.
      710.,  -337947.
      711.,  -337947.
      712.,  -337947.
      713.,  -339073.
      714.,  -337955.
      715.,  -337955.
      716.,  -337955.
      717.,  -339073.
      718.,  -337963.
      719.,  -337963.
      720.,  -337963.
      721.,  -337939.
      722.,  -337939.
      723.,  -337939.
      724.,  -339073.
      725.,  -337947.
      726.,  -337947.
      727.,  -337947.
      728.,  -339073.
      729.,  -337955.
      730.,  -337955.
      731.,  -337955.
      732.,  -339073.
      733.,  -337963.
      734.,  -337963.
      735.,  -337963.
      736.,  -337939.
      737.,  -337939.
      738.,  -337939.
      739.,  -339073.
      740.,  -337947.
      741.,  -337947.
      742.,  -337947.
      743.,  -339073.
      744.,  -337955.
      745.,  -337955.
      746.,  -337955.
      747.,  -339073.
      748.,  -337963.
      749.,  -337963.
      750.,  -337963.
      751.,  -337939.
      752.,  -337939.
      753.,  -337939.
      754.,  -339073.
      755.,  -337947.
      756.,  -337947.
      757.,  -337947.
      758.,  -339073.
      759.,  -337955.
      760.,  -337955.
      761.,  -337955.
      762.,  -339073.
      763.,  -337963.
      764.,  -337963.
      765.,  -337963.
      766.,  -337939.
      767.,  -337939.
      768.,  -337939.
      769.,  -339073.
      770.,  -337947.
      771.,  -337947.
      772.,  -337947.
      773.,  -339073.
      774.,  -337955.
      775.,  -337955.
      776.,  -337955.
      777.,  -339073.
      778.,  -337963.
      779.,  -337963.
      780.,  -337963.
      781.,  -337939.
      782.,  -337939.
      783.,  -337939.
      784.,  -339073.
      785.,  -337947.
      786.,  -337947.
      787.,  -337947.
      788.,  -339073.
      789.,  -337955.
      790.,  -337955.
      791.,  -337955.
      792.,  -339073.
      793.,  -337963.
      794.,  -337963.
      795.,  -337963.
      796.,  -337939.
      797.,  -337939.
      798.,  -337939.
      799.,  -339073.
      800.,  -337947.
      801.,  -337947.
      802.,  -337947.
      803.,  -339073.
      804.,  -337955.
      805.,  -337955.
      806.,  -337955.
      807.,  -339073.
      808.,  -337963.
      809.,  -337963.
      810.,  -337963.
      811.,  -337939.
      812.,  -337939.
      813.,  -337939.
      814.,  -339073.
      815.,  -337947.
      816.,  -337947.
      817.,  -337947.
      818.,  -339073.
      819.,  -337955.
      820.,  -337955.
      821.,  -337955.
      822.,  -339073.
      823.,  -337963.
      824.,  -337963.
      825.,  -337963.
      826.,  -337939.
      827.,  -337939.
      828.,  -337939.
      829.,  -339073.
      830.,  -337947.
      831.,  -337947.
      832.,  -337947.
      833.,  -339073.
      834.,  -337955.
      835.,  -337955.
      836.,  -337955.
      837.,  -339073.
      838.,  -337963.
      839.,  -337963.
      840.,  -337963.
      841.,  -337939.
      842.,  -337939.
      843.,  -337939.
      844.,  -339073.
      845.,  -337947.
      846.,  -337947.
      847.,  -337947.
      848.,  -339073.
      849.,  -337955.
      850.,  -337955.
      851.,  -337955.
      852.,  -339073.
      853.,  -337963.
      854.,  -337963.
      855.,  -337963.
      856.,  -337939.
      857.,  -337939.
      858.,  -337939.
      859.,  -339073.
      860.,  -337947.
      861.,  -337947.
      862.,  -337947.
      863.,  -339073.
      864.,  -337955.
      865.,  -337955.
      866.,  -337955.
      867.,  -339073.
      868.,  -337963.
      869.,  -337963.
      870.,  -337963.
      871.,  -337939.
      872.,  -337939.
      873.,  -337939.
      874.,  -339073.
      875.,  -337947.
      876.,  -337947.
      877.,  -337947.
      878.,  -339073.
      879.,  -337955.
      880.,  -337955.
      881.,  -337955.
      882.,  -339073.
      883.,  -337963.
      884.,  -337963.
      885.,  -337963.
      886.,  -337939.
      887.,  -337939.
      888.,  -337939.
      889.,  -339073.
      890.,  -337947.
      891.,  -337947.
      892.,  -337947.
      893.,  -339073.
      894.,  -337955.
      895.,  -337955.
      896.,  -337955.
      897.,  -339073.
      898.,  -337963.
      899.,  -337963.
      900.,  -337963.
      901.,  -337939.
      902.,  -337939.
      903.,  -337939.
      904.,  -339073.
      905.,  -337947.
      906.,  -337947.
      907.,  -337947.
      908.,  -339073.
      909.,  -337955.
      910.,  -337955.
      911.,  -337955.
      912.,  -339073.
      913.,  -337963.
      914.,  -337963.
      915.,  -337963.
      916.,  -339073.
      917.,  -339073.
      918.,  -339073.
      919.,  -339073.
      920.,  -339073.
      921.,  -339073.
      922.,  -339073.
      923.,  -339073.
      924.,  -339073.
      925.,  -339073.
      926.,  -339073.
      927.,  -339073.
      928.,  -339073.
      929.,  -339073.
      930.,  -339073.
      931.,  -339073.
      932.,  -339073.
      933.,  -339073.
      934.,  -339073.
      935.,  -339073.
      936.,  -339073.
      937.,  -339073.
      938.,  -339073.
      939.,  -339073.
      940.,  -339073.
      941.,  -339073.
      942.,  -339073.
      943.,  -339073.
      944.,  -339073.
      945.,  -339073.
      946.,  -340723.
      947.,  -340723.
      948.,  -340723.
      949.,  -340723.
      950.,  -340723.
      951.,  -340723.
      952.,  -340723.
      953.,  -340723.
      954.,  -340723.
      955.,  -340723.
      956.,  -340723.
      957.,  -340723.
      958.,  -340723.
      959.,  -340723.
      960.,  -340723.
      961.,  -340723.
      962.,  -340723.
      963.,  -340723.
      964.,  -340723.
      965.,  -340723.
      966.,  -340723.
      967.,  -340723.
      968.,  -340723.
      969.,  -340723.
      970.,  -340723.
      971.,  -340723.
      972.,  -340723.
      973.,  -340723.
      974.,  -340723.
      975.,  -340723.
      976.,  -340723.
      977.,  -340723.
      978.,  -340723.
      979.,  -340723.
      980.,  -340723.
      981.,  -340723.
      982.,  -340723.
      983.,  -340723.
      984.,  -340723.
      985.,  -340723.
      986.,  -340723.
      987.,  -340723.
      988.,  -340723.
      989.,  -340723.
      990.,  -340723.
      991.,  -340723.
      992.,  -340723.
      993.,  -340723.
      994.,  -340723.
      995.,  -340723.
      996.,  -340723.
      997.,  -340723.
      998.,  -340723.
      999.,  -340723.
     1000.,  -340723.
     1001.,  -340723.
     1002.,  -340723.
     1003.,  -340723.
     1004.,  -340723.
     1005.,  -340723.
     1006.,  -340723.
     1007.,  -340723.
     1008.,  -340723.
     1009.,  -340723.
     1010.,  -340723.
     1011.,  -340723.
     1012.,  -340723.
     1013.,  -340723.
     1014.,  -340723.
     1015.,  -340723.
     1016.,  -340723.
     1017.,  -340723.
     1018.,  -340723.
     1019.,  -340723.
     1020.,  -340723.
     1021.,  -340723.
     1022.,  -340723.
     1023.,  -340723.
     1024.,  -340723.
     1025.,  -340723.
     1026.,  -340723.
     1027.,  -340723.
     1028.,  -340723.
     1029.,  -340723.
     1030.,  -340723.
     1031.,  -340723.
     1032.,  -340723.
     1033.,  -340723.
     1034.,  -340723.
     1035.,  -340723.
     1036.,  -340723.
     1037.,  -340723.
     1038.,  -340723.
     1039.,  -340723.
     1040.,  -340723.
     1041.,  -340723.
     1042.,  -340723.
     1043.,  -340723.
     1044.,  -340723.
     1045.,  -340723.
     1046.,  -340723.
     1047.,  -340723.
     1048.,  -340723.
     1049.,  -340723.
     1050.,  -340723.
     1051.,  -340723.
     1052.,  -340723.
     1053.,  -340723.
     1054.,  -340723.
     1055.,  -340723.
     1056.,  -340723.
     1057.,  -340723.
     1058.,  -340723.
     1059.,  -340723.
     1060.,  -340723.
     1061.,  -340723.
     1062.,  -340723.
     1063.,  -340723.
     1064.,  -340723.
     1065.,  -340723.
     1066.,  -340723.
     1067.,  -340723.
     1068.,  -340723.
     1069.,  -340723.
     1070.,  -340723.
     1071.,  -340723.
     1072.,  -340723.
     1073.,  -340723.
     1074.,  -340723.
     1075.,  -340723.
     1076.,  -340723.
     1077.,  -340723.
     1078.,  -340723.
     1079.,  -340723.
     1080.,  -340723.
