,Beam,Node,X,Y,Z,track,arch,original,arc,beam_id,beam_id_mirrored,Beam_mirrored,Beam_mirrored_num
55,Beam_1_1_1,15013,0.015208,0.0053011,0.013575,1,1,65,1,1,14,Beam_1_1_14,1114
56,Beam_1_1_1,15089,0.015208,0.0053012,0.014881,1,1,65,1,1,14,Beam_1_1_14,1114
57,Beam_1_1_1,15018,0.006347,0.0056355,0.013857,1,1,65,1,1,14,Beam_1_1_14,1114
58,Beam_1_1_1,15027,0.012672,0.0056355,0.013857,1,1,65,1,1,14,Beam_1_1_14,1114
59,Beam_1_1_1,15084,0.0063467,0.0056356,0.015156,1,1,65,1,1,14,Beam_1_1_14,1114
60,Beam_1_1_1,15080,0.012672,0.0056356,0.015156,1,1,65,1,1,14,Beam_1_1_14,1114
61,Beam_1_1_1,15070,0.0019077,0.0057957,0.015287,1,1,65,1,1,14,Beam_1_1_14,1114
62,Beam_1_1_1,15035,0.0019078,0.0057957,0.013991,1,1,65,1,1,14,Beam_1_1_14,1114
63,Beam_1_1_1,15014,0.017096,0.0057968,0.013992,1,1,65,1,1,14,Beam_1_1_14,1114
64,Beam_1_1_1,15090,0.017097,0.0057968,0.015288,1,1,65,1,1,14,Beam_1_1_14,1114
65,Beam_1_1_1,15019,0.0047664,0.0060491,0.014202,1,1,65,1,1,14,Beam_1_1_14,1114
66,Beam_1_1_1,15026,0.014248,0.0060491,0.014202,1,1,65,1,1,14,Beam_1_1_14,1114
67,Beam_1_1_1,15085,0.0047661,0.0060492,0.015493,1,1,65,1,1,14,Beam_1_1_14,1114
68,Beam_1_1_1,15079,0.014248,0.0060492,0.015493,1,1,65,1,1,14,Beam_1_1_14,1114
69,Beam_1_1_1,15020,0.0031755,0.0064654,0.014543,1,1,65,1,1,14,Beam_1_1_14,1114
70,Beam_1_1_1,15025,0.015834,0.0064654,0.014543,1,1,65,1,1,14,Beam_1_1_14,1114
71,Beam_1_1_1,15086,0.0031753,0.0064655,0.015826,1,1,65,1,1,14,Beam_1_1_14,1114
72,Beam_1_1_1,15078,0.015834,0.0064655,0.015826,1,1,65,1,1,14,Beam_1_1_14,1114
73,Beam_1_1_1,15021,0.0015927,0.0068796,0.014877,1,1,65,1,1,14,Beam_1_1_14,1114
74,Beam_1_1_1,15024,0.017412,0.0068796,0.014877,1,1,65,1,1,14,Beam_1_1_14,1114
75,Beam_1_1_1,15087,0.0015925,0.0068797,0.016152,1,1,65,1,1,14,Beam_1_1_14,1114
76,Beam_1_1_1,15077,0.017412,0.0068797,0.016152,1,1,65,1,1,14,Beam_1_1_14,1114
77,Beam_1_1_1,24737,0.0,0.0078019,0.016231,1,1,65,1,1,14,Beam_1_1_14,1114
78,Beam_1_1_1,24740,0.00475,0.0078019,0.016231,1,1,65,1,1,14,Beam_1_1_14,1114
79,Beam_1_1_1,24739,0.0095,0.0078019,0.016231,1,1,65,1,1,14,Beam_1_1_14,1114
80,Beam_1_1_1,24738,0.01425,0.0078019,0.016231,1,1,65,1,1,14,Beam_1_1_14,1114
81,Beam_1_1_1,24736,0.019,0.0078019,0.016231,1,1,65,1,1,14,Beam_1_1_14,1114
82,Beam_1_1_3,16621,0.0023633,0.00893,0.016456,1,1,119,1,3,13,Beam_1_1_13,1113
83,Beam_1_1_3,16624,0.016637,0.00893,0.016456,1,1,119,1,3,13,Beam_1_1_13,1113
84,Beam_1_1_3,16641,0.0023635,0.0089301,0.017696,1,1,119,1,3,13,Beam_1_1_13,1113
85,Beam_1_1_3,16635,0.016637,0.0089301,0.017696,1,1,119,1,3,13,Beam_1_1_13,1113
86,Beam_1_1_3,16620,0.0047461,0.0095554,0.016914,1,1,119,1,3,13,Beam_1_1_13,1113
87,Beam_1_1_3,16625,0.014254,0.0095554,0.016914,1,1,119,1,3,13,Beam_1_1_13,1113
88,Beam_1_1_3,16640,0.0047463,0.0095555,0.018144,1,1,119,1,3,13,Beam_1_1_13,1113
89,Beam_1_1_3,16636,0.014254,0.0095555,0.018144,1,1,119,1,3,13,Beam_1_1_13,1113
90,Beam_1_1_3,16592,0.017113,0.0098184,0.017103,1,1,119,1,3,13,Beam_1_1_13,1113
91,Beam_1_1_3,16660,0.017112,0.0098185,0.018329,1,1,119,1,3,13,Beam_1_1_13,1113
92,Beam_1_1_3,16619,0.0071139,0.010177,0.017358,1,1,119,1,3,13,Beam_1_1_13,1113
93,Beam_1_1_3,16639,0.007114,0.010177,0.018579,1,1,119,1,3,13,Beam_1_1_13,1113
94,Beam_1_1_3,16626,0.011886,0.010177,0.017358,1,1,119,1,3,13,Beam_1_1_13,1113
95,Beam_1_1_3,16637,0.011886,0.010177,0.018579,1,1,119,1,3,13,Beam_1_1_13,1113
96,Beam_1_1_3,16611,0.0037951,0.010306,0.017449,1,1,119,1,3,13,Beam_1_1_13,1113
97,Beam_1_1_3,16647,0.0037953,0.010306,0.018668,1,1,119,1,3,13,Beam_1_1_13,1113
98,Beam_1_1_3,16661,0.015213,0.010315,0.018674,1,1,119,1,3,13,Beam_1_1_13,1113
99,Beam_1_1_3,16593,0.015213,0.010315,0.017456,1,1,119,1,3,13,Beam_1_1_13,1113
100,Beam_1_1_3,16610,0.0056893,0.010803,0.017796,1,1,119,1,3,13,Beam_1_1_13,1113
101,Beam_1_1_3,16646,0.0056894,0.010803,0.019007,1,1,119,1,3,13,Beam_1_1_13,1113
102,Beam_1_1_3,16638,0.0095,0.010803,0.019007,1,1,119,1,3,13,Beam_1_1_13,1113
103,Beam_1_1_3,16618,0.0095,0.010803,0.017796,1,1,119,1,3,13,Beam_1_1_13,1113
104,Beam_1_1_3,16594,0.013323,0.01081,0.017801,1,1,119,1,3,13,Beam_1_1_13,1113
105,Beam_1_1_3,16662,0.013323,0.01081,0.019011,1,1,119,1,3,13,Beam_1_1_13,1113
106,Beam_1_1_3,16609,0.0075949,0.011303,0.018138,1,1,119,1,3,13,Beam_1_1_13,1113
107,Beam_1_1_3,16645,0.0075949,0.011303,0.019342,1,1,119,1,3,13,Beam_1_1_13,1113
108,Beam_1_1_3,16595,0.011422,0.011308,0.018141,1,1,119,1,3,13,Beam_1_1_13,1113
109,Beam_1_1_3,16659,0.011422,0.011308,0.019345,1,1,119,1,3,13,Beam_1_1_13,1113
110,Beam_1_1_3,16644,0.0057025,0.0118,0.019668,1,1,119,1,3,13,Beam_1_1_13,1113
111,Beam_1_1_3,16617,0.0057026,0.0118,0.018471,1,1,119,1,3,13,Beam_1_1_13,1113
112,Beam_1_1_3,16656,0.01331,0.011803,0.01967,1,1,119,1,3,13,Beam_1_1_13,1113
113,Beam_1_1_3,16596,0.01331,0.011803,0.018473,1,1,119,1,3,13,Beam_1_1_13,1113
114,Beam_1_1_3,16600,0.0095141,0.011807,0.018476,1,1,119,1,3,13,Beam_1_1_13,1113
115,Beam_1_1_3,16652,0.0095141,0.011807,0.019673,1,1,119,1,3,13,Beam_1_1_13,1113
116,Beam_1_1_3,16643,0.0037994,0.012299,0.01999,1,1,119,1,3,13,Beam_1_1_13,1113
117,Beam_1_1_3,16616,0.0037995,0.012299,0.0188,1,1,119,1,3,13,Beam_1_1_13,1113
118,Beam_1_1_3,16597,0.015209,0.012301,0.018801,1,1,119,1,3,13,Beam_1_1_13,1113
119,Beam_1_1_3,16657,0.015209,0.012301,0.019992,1,1,119,1,3,13,Beam_1_1_13,1113
120,Beam_1_1_3,16653,0.0071452,0.012427,0.020072,1,1,119,1,3,13,Beam_1_1_13,1113
121,Beam_1_1_3,16601,0.0071453,0.012427,0.018883,1,1,119,1,3,13,Beam_1_1_13,1113
122,Beam_1_1_3,16608,0.011876,0.012427,0.018883,1,1,119,1,3,13,Beam_1_1_13,1113
123,Beam_1_1_3,16651,0.011876,0.012427,0.020072,1,1,119,1,3,13,Beam_1_1_13,1113
124,Beam_1_1_3,16642,0.0019048,0.012796,0.020305,1,1,119,1,3,13,Beam_1_1_13,1113
125,Beam_1_1_3,16615,0.0019049,0.012796,0.019121,1,1,119,1,3,13,Beam_1_1_13,1113
126,Beam_1_1_3,16598,0.017099,0.012798,0.019122,1,1,119,1,3,13,Beam_1_1_13,1113
127,Beam_1_1_3,16658,0.017099,0.012798,0.020306,1,1,119,1,3,13,Beam_1_1_13,1113
128,Beam_1_1_3,16654,0.0047599,0.013051,0.020464,1,1,119,1,3,13,Beam_1_1_13,1113
129,Beam_1_1_3,16602,0.00476,0.013051,0.019283,1,1,119,1,3,13,Beam_1_1_13,1113
130,Beam_1_1_3,16607,0.014254,0.013051,0.019283,1,1,119,1,3,13,Beam_1_1_13,1113
131,Beam_1_1_3,16650,0.014254,0.013051,0.020464,1,1,119,1,3,13,Beam_1_1_13,1113
132,Beam_1_1_3,16655,0.0023877,0.013672,0.020845,1,1,119,1,3,13,Beam_1_1_13,1113
133,Beam_1_1_3,16603,0.0023878,0.013672,0.019672,1,1,119,1,3,13,Beam_1_1_13,1113
134,Beam_1_1_3,16649,0.016619,0.013672,0.020845,1,1,119,1,3,13,Beam_1_1_13,1113
135,Beam_1_1_3,16606,0.016619,0.013672,0.019672,1,1,119,1,3,13,Beam_1_1_13,1113
136,Beam_1_1_3,24701,0.0,0.014802,0.020937,1,1,119,1,3,13,Beam_1_1_13,1113
137,Beam_1_1_3,24704,0.00475,0.014802,0.020937,1,1,119,1,3,13,Beam_1_1_13,1113
138,Beam_1_1_3,24703,0.0095,0.014802,0.020937,1,1,119,1,3,13,Beam_1_1_13,1113
139,Beam_1_1_3,24702,0.01425,0.014802,0.020937,1,1,119,1,3,13,Beam_1_1_13,1113
140,Beam_1_1_3,24700,0.019,0.014802,0.020937,1,1,119,1,3,13,Beam_1_1_13,1113
141,Beam_1_1_4,17917,0.0023669,0.015931,0.021013,1,1,173,1,4,12,Beam_1_1_12,1112
142,Beam_1_1_4,17937,0.002367,0.015931,0.02216,1,1,173,1,4,12,Beam_1_1_12,1112
143,Beam_1_1_4,17931,0.016633,0.015931,0.02216,1,1,173,1,4,12,Beam_1_1_12,1112
144,Beam_1_1_4,17920,0.016633,0.015931,0.021013,1,1,173,1,4,12,Beam_1_1_12,1112
145,Beam_1_1_4,17916,0.0047478,0.016556,0.021363,1,1,173,1,4,12,Beam_1_1_12,1112
146,Beam_1_1_4,17936,0.0047479,0.016556,0.022504,1,1,173,1,4,12,Beam_1_1_12,1112
147,Beam_1_1_4,17921,0.014252,0.016556,0.021363,1,1,173,1,4,12,Beam_1_1_12,1112
148,Beam_1_1_4,17932,0.014252,0.016556,0.022504,1,1,173,1,4,12,Beam_1_1_12,1112
