BodyID	Node	X	Y	Z
-340693.0	15024	0.017412	0.0068796	0.014877
-340693.0	15025	0.015834	0.0064654	0.014543
-340693.0	15039	0.0079079	0.0033852	0.011883
-340693.0	15040	0.0063276	0.0029705	0.0115
-340693.0	15041	0.004738	0.0025533	0.011108
-340693.0	15042	0.0031608	0.0021394	0.010713
-340693.0	15064	0.0095	0.0038031	0.013602
-340693.0	15065	0.0079081	0.0033853	0.013232
-340693.0	15074	0.0056861	0.0038021	0.013601
-340693.0	15075	0.0037939	0.0033055	0.01316
-340693.0	15076	0.0018882	0.0028054	0.012708
-340693.0	15077	0.017412	0.0068797	0.016152
-340693.0	15078	0.015834	0.0064655	0.015826
-340693.0	15079	0.014248	0.0060492	0.015493
-340693.0	15080	0.012672	0.0056356	0.015156
-340693.0	15081	0.011088	0.0052198	0.014813
-340693.0	15082	0.0095141	0.0048068	0.014466
-340693.0	15083	0.0079357	0.0052198	0.014813
-340693.0	15084	0.0063467	0.0056356	0.015156
-340693.0	15085	0.0047661	0.0060492	0.015493
-340693.0	15086	0.0031753	0.0064655	0.015826
-340693.0	15087	0.0015925	0.0068797	0.016152
-340693.0	15088	0.013307	0.0048023	0.014463
-340693.0	15043	0.0015739	0.0017229	0.010308
-340693.0	15046	0.017426	0.0017229	0.010308
-340693.0	15047	0.015839	0.0021394	0.010713
-340693.0	15048	0.014262	0.0025533	0.011108
-340693.0	15061	0.014262	0.0025534	0.012477
-340693.0	15062	0.012672	0.0029706	0.012858
-340693.0	15063	0.011092	0.0033853	0.013232
-340693.0	15026	0.014248	0.0060491	0.014202
-340693.0	15027	0.012672	0.0056355	0.013857
-340693.0	15028	0.011088	0.0052198	0.013505
-340693.0	15029	0.0075949	0.0043031	0.012709
-340693.0	15030	0.0056859	0.0038021	0.012262
-340693.0	15031	0.0037936	0.0033054	0.01181
-340693.0	15032	0.001888	0.0028053	0.011346
-340693.0	15035	0.0019078	0.0057957	0.013991
-340693.0	15089	0.015208	0.0053012	0.014881
-340693.0	15090	0.017097	0.0057968	0.015288
-340693.0	15091	0.011422	0.0043075	0.01404
-340693.0	15092	0.017116	0.0028176	0.012719
-340693.0	15093	0.015215	0.0033151	0.013169
-340693.0	15094	0.013326	0.0038092	0.013607
-340693.0	15009	0.015215	0.003315	0.011819
-340693.0	15010	0.013327	0.0038091	0.012268
-340693.0	15011	0.011422	0.0043075	0.012713
-340693.0	15012	0.013307	0.0048023	0.013146
-340693.0	15013	0.015208	0.0053011	0.013575
-340693.0	15014	0.017096	0.0057968	0.013992
-340693.0	15016	0.0095141	0.0048068	0.01315
-340693.0	15017	0.0079359	0.0052198	0.013505
-340693.0	15018	0.006347	0.0056355	0.013857
-340693.0	15019	0.0047664	0.0060491	0.014202
-340693.0	15020	0.0031755	0.0064654	0.014543
-340693.0	15021	0.0015927	0.0068796	0.014877
-340693.0	15036	0.0038007	0.0052989	0.013573
-340693.0	15037	0.0057057	0.0047989	0.013143
-340693.0	15038	0.0095	0.0038031	0.012263
-340693.0	15008	0.017116	0.0028175	0.011357
-340693.0	15069	0.0015742	0.0017229	0.011699
-340693.0	15068	0.0031613	0.0021395	0.012092
-340693.0	15067	0.0047385	0.0025534	0.012477
-340693.0	15066	0.0063281	0.0029706	0.012858
-340693.0	15070	0.0019077	0.0057957	0.015287
-340693.0	15071	0.0038005	0.0052989	0.014879
-340693.0	15072	0.0057055	0.004799	0.01446
-340693.0	15073	0.0075949	0.0043031	0.014037
-340693.0	15049	0.012672	0.0029705	0.0115
-340693.0	15050	0.011092	0.0033852	0.011883
-340693.0	15059	0.017426	0.0017229	0.011699
-340693.0	15060	0.015839	0.0021395	0.012092
-340691.0	15120	0.035215	0.003315	0.011819
-340691.0	15121	0.033327	0.0038091	0.012268
-340691.0	15122	0.031422	0.0043075	0.012713
-340691.0	15123	0.027936	0.0052198	0.013505
-340691.0	15134	0.026328	0.0029705	0.0115
-340691.0	15135	0.024738	0.0025533	0.011108
-340691.0	15136	0.023161	0.0021394	0.010713
-340691.0	15137	0.021574	0.0017229	0.010308
-340691.0	15147	0.027908	0.0033853	0.013232
-340691.0	15148	0.026328	0.0029706	0.012858
-340691.0	15149	0.024738	0.0025534	0.012477
-340691.0	15150	0.023161	0.0021395	0.012092
-340691.0	15151	0.021574	0.0017229	0.011699
-340691.0	15152	0.0295	0.0038031	0.013602
-340691.0	15153	0.033307	0.0048023	0.014463
-340691.0	15155	0.037097	0.0057968	0.015288
-340691.0	15154	0.035208	0.0053012	0.014881
-340691.0	15156	0.031422	0.0043075	0.01404
-340691.0	15162	0.029514	0.0048068	0.014466
-340691.0	15161	0.021593	0.0068797	0.016152
-340691.0	15160	0.023175	0.0064655	0.015826
-340691.0	15159	0.024766	0.0060492	0.015493
-340691.0	15158	0.026347	0.0056356	0.015156
-340691.0	15157	0.027936	0.0052198	0.014813
-340691.0	15173	0.032672	0.0029706	0.012858
-340691.0	15174	0.031092	0.0033853	0.013232
-340691.0	15175	0.037412	0.0068797	0.016152
-340691.0	15176	0.035834	0.0064655	0.015826
-340691.0	15124	0.026347	0.0056355	0.013857
-340691.0	15125	0.024766	0.0060491	0.014202
-340691.0	15126	0.023176	0.0064654	0.014543
-340691.0	15127	0.021593	0.0068796	0.014877
-340691.0	15129	0.033307	0.0048023	0.013146
-340691.0	15130	0.035208	0.0053011	0.013575
-340691.0	15131	0.037096	0.0057968	0.013992
-340691.0	15133	0.027908	0.0033852	0.011883
-340691.0	15096	0.021908	0.0057957	0.013991
-340691.0	15097	0.023801	0.0052989	0.013573
-340691.0	15098	0.025706	0.0047989	0.013143
-340691.0	15099	0.027595	0.0043031	0.012709
-340691.0	15101	0.037412	0.0068796	0.014877
-340691.0	15102	0.035834	0.0064654	0.014543
-340691.0	15103	0.034248	0.0060491	0.014202
-340691.0	15104	0.032672	0.0056355	0.013857
-340691.0	15105	0.031088	0.0052198	0.013505
-340691.0	15106	0.029514	0.0048068	0.01315
-340691.0	15108	0.037426	0.0017229	0.010308
-340691.0	15109	0.035839	0.0021394	0.010713
-340691.0	15110	0.034262	0.0025533	0.011108
-340691.0	15111	0.032672	0.0029705	0.0115
-340691.0	15112	0.031092	0.0033852	0.011883
-340691.0	15113	0.0295	0.0038031	0.012263
-340691.0	15114	0.025686	0.0038021	0.012262
-340691.0	15115	0.023794	0.0033054	0.01181
-340691.0	15116	0.021888	0.0028053	0.011346
-340691.0	15119	0.037116	0.0028175	0.011357
-340691.0	15172	0.034262	0.0025534	0.012477
-340691.0	15171	0.035839	0.0021395	0.012092
-340691.0	15170	0.037426	0.0017229	0.011699
-340691.0	15169	0.027595	0.0043031	0.014037
-340691.0	15168	0.021888	0.0028054	0.012708
-340691.0	15167	0.023794	0.0033055	0.01316
-340691.0	15166	0.025686	0.0038021	0.013601
-340691.0	15165	0.033326	0.0038092	0.013607
-340691.0	15164	0.035215	0.0033151	0.013169
-340691.0	15163	0.037116	0.0028176	0.012719
-340691.0	15178	0.032672	0.0056356	0.015156
-340691.0	15177	0.034248	0.0060492	0.015493
-340691.0	15180	0.021908	0.0057957	0.015287
-340691.0	15179	0.031088	0.0052198	0.014813
-340691.0	15182	0.025705	0.004799	0.01446
-340691.0	15181	0.0238	0.0052989	0.014879
-340689.0	15189	0.0495	0.0038031	0.012263
-340689.0	15188	0.051092	0.0033852	0.011883
-340689.0	15187	0.052672	0.0029705	0.0115
-340689.0	15186	0.054262	0.0025533	0.011108
-340689.0	15185	0.055839	0.0021394	0.010713
-340689.0	15184	0.057426	0.0017229	0.010308
-340689.0	15267	0.055839	0.0021395	0.012092
-340689.0	15270	0.051092	0.0033853	0.013232
-340689.0	15269	0.052672	0.0029706	0.012858
-340689.0	15268	0.054262	0.0025534	0.012477
-340689.0	15265	0.057097	0.0057968	0.015288
-340689.0	15266	0.057426	0.0017229	0.011699
-340689.0	15190	0.051422	0.0043075	0.012713
-340689.0	15191	0.053307	0.0048023	0.013146
-340689.0	15192	0.055208	0.0053011	0.013575
-340689.0	15193	0.057096	0.0057968	0.013992
-340689.0	15236	0.046328	0.0029706	0.012858
-340689.0	15235	0.047908	0.0033853	0.013232
-340689.0	15225	0.041574	0.0017229	0.010308
-340689.0	15224	0.043161	0.0021394	0.010713
-340689.0	15237	0.044738	0.0025534	0.012477
-340689.0	15238	0.043161	0.0021395	0.012092
-340689.0	15239	0.041574	0.0017229	0.011699
-340689.0	15240	0.0495	0.0038031	0.013602
-340689.0	15201	0.057412	0.0068796	0.014877
-340689.0	15202	0.055834	0.0064654	0.014543
-340689.0	15203	0.054248	0.0060491	0.014202
-340689.0	15204	0.052672	0.0056355	0.013857
-340689.0	15196	0.041908	0.0057957	0.013991
-340689.0	15197	0.043801	0.0052989	0.013573
-340689.0	15198	0.045706	0.0047989	0.013143
-340689.0	15199	0.047595	0.0043031	0.012709
-340689.0	15209	0.041888	0.0028053	0.011346
-340689.0	15211	0.047936	0.0052198	0.013505
-340689.0	15212	0.046347	0.0056355	0.013857
-340689.0	15213	0.044766	0.0060491	0.014202
-340689.0	15214	0.043176	0.0064654	0.014543
-340689.0	15215	0.041593	0.0068796	0.014877
-340689.0	15218	0.057116	0.0028175	0.011357
-340689.0	15219	0.055215	0.003315	0.011819
-340689.0	15220	0.053327	0.0038091	0.012268
-340689.0	15221	0.047908	0.0033852	0.011883
-340689.0	15222	0.046328	0.0029705	0.0115
-340689.0	15223	0.044738	0.0025533	0.011108
-340689.0	15205	0.051088	0.0052198	0.013505
-340689.0	15206	0.049514	0.0048068	0.01315
-340689.0	15207	0.045686	0.0038021	0.012262
-340689.0	15208	0.043794	0.0033054	0.01181
-340689.0	15261	0.0438	0.0052989	0.014879
-340689.0	15262	0.045705	0.004799	0.01446
-340689.0	15263	0.053307	0.0048023	0.014463
-340689.0	15264	0.055208	0.0053012	0.014881
-340689.0	15257	0.054248	0.0060492	0.015493
-340689.0	15258	0.052672	0.0056356	0.015156
-340689.0	15259	0.051088	0.0052198	0.014813
-340689.0	15260	0.041908	0.0057957	0.015287
-340689.0	15256	0.055834	0.0064655	0.015826
-340689.0	15255	0.057412	0.0068797	0.016152
-340689.0	15254	0.047595	0.0043031	0.014037
-340689.0	15253	0.041888	0.0028054	0.012708
-340689.0	15249	0.041593	0.0068797	0.016152
-340689.0	15250	0.049514	0.0048068	0.014466
-340689.0	15251	0.045686	0.0038021	0.013601
-340689.0	15252	0.043794	0.0033055	0.01316
-340689.0	15244	0.051422	0.0043075	0.01404
-340689.0	15243	0.053326	0.0038092	0.013607
-340689.0	15242	0.055215	0.0033151	0.013169
-340689.0	15241	0.057116	0.0028176	0.012719
-340689.0	15248	0.043175	0.0064655	0.015826
-340689.0	15247	0.044766	0.0060492	0.015493
-340689.0	15246	0.046347	0.0056356	0.015156
-340689.0	15245	0.047936	0.0052198	0.014813
-340687.0	15283	0.014262	0.10255	0.011108
-340687.0	15282	0.015839	0.10214	0.010713
-340687.0	15281	0.017426	0.10172	0.010308
-340687.0	15279	0.013327	0.10381	0.012268
-340687.0	15278	0.015215	0.10332	0.011819
-340687.0	15277	0.017116	0.10282	0.011357
-340687.0	15274	0.017096	0.1058	0.013992
-340687.0	15273	0.015208	0.1053	0.013575
-340687.0	15272	0.013307	0.1048	0.013146
-340687.0	15271	0.011422	0.10431	0.012713
-340687.0	15301	0.006347	0.10564	0.013857
-340687.0	15299	0.0095141	0.10481	0.01315
-340687.0	15295	0.015834	0.10647	0.014543
-340687.0	15296	0.014248	0.10605	0.014202
-340687.0	15294	0.017412	0.10688	0.014877
-340687.0	15297	0.012672	0.10564	0.013857
-340687.0	15300	0.0079359	0.10522	0.013505
-340687.0	15298	0.011088	0.10522	0.013505
-340687.0	15323	0.0056861	0.1038	0.013601
-340687.0	15324	0.0037939	0.10331	0.01316
-340687.0	15325	0.0018882	0.10281	0.012708
-340687.0	15326	0.0075949	0.1043	0.014037
-340687.0	15327	0.0019077	0.1058	0.015287
-340687.0	15328	0.0038005	0.1053	0.014879
-340687.0	15284	0.012672	0.10297	0.0115
-340687.0	15285	0.011092	0.10339	0.011883
-340687.0	15286	0.0095	0.1038	0.012263
-340687.0	15287	0.0079079	0.10339	0.011883
-340687.0	15288	0.0063276	0.10297	0.0115
-340687.0	15289	0.004738	0.10255	0.011108
-340687.0	15290	0.0031608	0.10214	0.010713
-340687.0	15291	0.0015739	0.10172	0.010308
-340687.0	15311	0.0056859	0.1038	0.012262
-340687.0	15310	0.0075949	0.1043	0.012709
-340687.0	15309	0.0057057	0.1048	0.013143
-340687.0	15308	0.0038007	0.1053	0.013573
-340687.0	15307	0.0019078	0.1058	0.013991
-340687.0	15304	0.0015927	0.10688	0.014877
-340687.0	15303	0.0031755	0.10647	0.014543
-340687.0	15302	0.0047664	0.10605	0.014202
-340687.0	15331	0.0063467	0.10564	0.015156
-340687.0	15330	0.0079357	0.10522	0.014813
-340687.0	15329	0.0057055	0.1048	0.01446
-340687.0	15312	0.0037936	0.10331	0.01181
-340687.0	15313	0.001888	0.10281	0.011346
-340687.0	15356	0.013307	0.1048	0.014463
-340687.0	15358	0.017097	0.1058	0.015288
-340687.0	15351	0.011092	0.10339	0.013232
-340687.0	15355	0.011422	0.10431	0.01404
-340687.0	15352	0.017116	0.10282	0.012719
-340687.0	15336	0.017412	0.10688	0.016152
-340687.0	15337	0.015834	0.10647	0.015826
-340687.0	15334	0.0015925	0.10688	0.016152
-340687.0	15333	0.0031753	0.10647	0.015826
-340687.0	15332	0.0047661	0.10605	0.015493
-340687.0	15335	0.0095141	0.10481	0.014466
-340687.0	15338	0.014248	0.10605	0.015493
-340687.0	15345	0.0015742	0.10172	0.011699
-340687.0	15343	0.0047385	0.10255	0.012477
-340687.0	15344	0.0031613	0.10214	0.012092
-340687.0	15340	0.011088	0.10522	0.014813
-340687.0	15341	0.0079081	0.10339	0.013232
-340687.0	15339	0.012672	0.10564	0.015156
-340687.0	15342	0.0063281	0.10297	0.012858
-340687.0	15353	0.015215	0.10332	0.013169
-340687.0	15354	0.013326	0.10381	0.013607
-340687.0	15357	0.015208	0.1053	0.014881
-340687.0	15350	0.012672	0.10297	0.012858
-340687.0	15347	0.017426	0.10172	0.011699
-340687.0	15346	0.0095	0.1038	0.013602
-340687.0	15349	0.014262	0.10255	0.012477
-340687.0	15348	0.015839	0.10214	0.012092
-340685.0	15370	0.023793	0.10331	0.01181
-340685.0	15378	0.031092	0.10339	0.011883
-340685.0	15377	0.032672	0.10297	0.0115
-340685.0	15381	0.026328	0.10297	0.0115
-340685.0	15361	0.023801	0.1053	0.013573
-340685.0	15360	0.021908	0.1058	0.013991
-340685.0	15362	0.025706	0.1048	0.013143
-340685.0	15379	0.0295	0.1038	0.012263
-340685.0	15375	0.035839	0.10214	0.010713
-340685.0	15374	0.037426	0.10172	0.010308
-340685.0	15371	0.021888	0.10281	0.011346
-340685.0	15376	0.034262	0.10255	0.011108
