Beam,Node,X,Y,Z
101,25150,0.019,0.1918,0.016529
101,25151,0.0,0.1918,0.016529
101,25152,0.01425,0.1918,0.016529
101,25153,0.0095,0.1918,0.016529
101,25154,0.00475,0.1918,0.016529
104,25177,0.039,0.1918,0.016529
104,25178,0.02,0.1918,0.016529
104,25179,0.03425,0.1918,0.016529
104,25180,0.0295,0.1918,0.016529
104,25181,0.02475,0.1918,0.016529
107,25186,0.059,0.1918,0.016529
107,25187,0.04,0.1918,0.016529
107,25188,0.05425,0.1918,0.016529
107,25189,0.0495,0.1918,0.016529
107,25190,0.04475,0.1918,0.016529
110,25510,0.019,0.2918,0.016529
110,25511,0.0,0.2918,0.016529
110,25512,0.01425,0.2918,0.016529
110,25513,0.0095,0.2918,0.016529
110,25514,0.00475,0.2918,0.016529
113,25519,0.039,0.2918,0.016529
113,25520,0.02,0.2918,0.016529
113,25521,0.03425,0.2918,0.016529
113,25522,0.0295,0.2918,0.016529
113,25523,0.02475,0.2918,0.016529
116,25546,0.059,0.2918,0.016529
116,25547,0.04,0.2918,0.016529
116,25548,0.05425,0.2918,0.016529
116,25549,0.0495,0.2918,0.016529
116,25550,0.04475,0.2918,0.016529
119,24700,0.019,0.014802,0.020937
119,24701,0.0,0.014802,0.020937
119,24702,0.01425,0.014802,0.020937
119,24703,0.0095,0.014802,0.020937
119,24704,0.00475,0.014802,0.020937
122,24691,0.039,0.014802,0.020937
122,24692,0.02,0.014802,0.020937
122,24693,0.03425,0.014802,0.020937
122,24694,0.0295,0.014802,0.020937
122,24695,0.02475,0.014802,0.020937
125,24709,0.059,0.014802,0.020937
125,24710,0.04,0.014802,0.020937
125,24711,0.05425,0.014802,0.020937
125,24712,0.0495,0.014802,0.020937
125,24713,0.04475,0.014802,0.020937
128,24808,0.019,0.1148,0.020937
128,24809,0.0,0.1148,0.020937
128,24810,0.01425,0.1148,0.020937
128,24811,0.0095,0.1148,0.020937
128,24812,0.00475,0.1148,0.020937
131,24889,0.039,0.1148,0.020937
131,24890,0.02,0.1148,0.020937
131,24891,0.03425,0.1148,0.020937
131,24892,0.0295,0.1148,0.020937
131,24893,0.02475,0.1148,0.020937
134,24916,0.059,0.1148,0.020937
134,24917,0.04,0.1148,0.020937
134,24918,0.05425,0.1148,0.020937
134,24919,0.0495,0.1148,0.020937
134,24920,0.04475,0.1148,0.020937
137,25231,0.019,0.2148,0.020937
137,25232,0.0,0.2148,0.020937
137,25233,0.01425,0.2148,0.020937
137,25234,0.0095,0.2148,0.020937
137,25235,0.00475,0.2148,0.020937
140,25366,0.039,0.2148,0.020937
140,25367,0.02,0.2148,0.020937
140,25368,0.03425,0.2148,0.020937
140,25369,0.0295,0.2148,0.020937
140,25370,0.02475,0.2148,0.020937
143,25375,0.059,0.2148,0.020937
143,25376,0.04,0.2148,0.020937
143,25377,0.05425,0.2148,0.020937
143,25378,0.0495,0.2148,0.020937
143,25379,0.04475,0.2148,0.020937
146,24457,0.019,0.084804,0.021166
146,24458,0.0,0.084804,0.021166
146,24459,0.01425,0.084804,0.021166
146,24460,0.0095,0.084804,0.021166
146,24461,0.00475,0.084804,0.021166
149,24412,0.039,0.084804,0.021166
149,24413,0.02,0.084804,0.021166
149,24414,0.03425,0.084804,0.021166
149,24415,0.0295,0.084804,0.021166
149,24416,0.02475,0.084804,0.021166
152,24385,0.059,0.084804,0.021166
152,24386,0.04,0.084804,0.021166
152,24387,0.05425,0.084804,0.021166
152,24388,0.0495,0.084804,0.021166
152,24389,0.04475,0.084804,0.021166
155,25159,0.019,0.1848,0.021166
155,25160,0.0,0.1848,0.021166
155,25161,0.01425,0.1848,0.021166
155,25162,0.0095,0.1848,0.021166
155,25163,0.00475,0.1848,0.021166
158,25168,0.039,0.1848,0.021166
158,25169,0.02,0.1848,0.021166
158,25170,0.03425,0.1848,0.021166
158,25171,0.0295,0.1848,0.021166
158,25172,0.02475,0.1848,0.021166
161,25195,0.059,0.1848,0.021166
161,25196,0.04,0.1848,0.021166
161,25197,0.05425,0.1848,0.021166
161,25198,0.0495,0.1848,0.021166
161,25199,0.04475,0.1848,0.021166
164,25501,0.019,0.2848,0.021166
164,25502,0.0,0.2848,0.021166
164,25503,0.01425,0.2848,0.021166
164,25504,0.0095,0.2848,0.021166
164,25505,0.00475,0.2848,0.021166
167,25528,0.039,0.2848,0.021166
167,25529,0.02,0.2848,0.021166
167,25530,0.03425,0.2848,0.021166
167,25531,0.0295,0.2848,0.021166
167,25532,0.02475,0.2848,0.021166
170,25537,0.059,0.2848,0.021166
170,25538,0.04,0.2848,0.021166
170,25539,0.05425,0.2848,0.021166
170,25540,0.0495,0.2848,0.021166
170,25541,0.04475,0.2848,0.021166
173,24664,0.019,0.021802,0.024532
173,24665,0.0,0.021802,0.024532
173,24666,0.01425,0.021802,0.024532
173,24667,0.0095,0.021802,0.024532
173,24668,0.00475,0.021802,0.024532
176,24673,0.039,0.021802,0.024532
176,24674,0.02,0.021802,0.024532
176,24675,0.03425,0.021802,0.024532
176,24676,0.0295,0.021802,0.024532
176,24677,0.02475,0.021802,0.024532
179,24682,0.059,0.021802,0.024532
179,24683,0.04,0.021802,0.024532
179,24684,0.05425,0.021802,0.024532
179,24685,0.0495,0.021802,0.024532
179,24686,0.04475,0.021802,0.024532
182,24817,0.019,0.1218,0.024532
182,24818,0.0,0.1218,0.024532
182,24819,0.01425,0.1218,0.024532
182,24820,0.0095,0.1218,0.024532
182,24821,0.00475,0.1218,0.024532
185,24880,0.039,0.1218,0.024532
185,24881,0.02,0.1218,0.024532
185,24882,0.03425,0.1218,0.024532
185,24883,0.0295,0.1218,0.024532
185,24884,0.02475,0.1218,0.024532
188,24925,0.059,0.1218,0.024532
188,24926,0.04,0.1218,0.024532
188,24927,0.05425,0.1218,0.024532
188,24928,0.0495,0.1218,0.024532
188,24929,0.04475,0.1218,0.024532
191,25240,0.019,0.2218,0.024532
191,25241,0.0,0.2218,0.024532
191,25242,0.01425,0.2218,0.024532
191,25243,0.0095,0.2218,0.024532
191,25244,0.00475,0.2218,0.024532
194,25357,0.039,0.2218,0.024532
194,25358,0.02,0.2218,0.024532
194,25359,0.03425,0.2218,0.024532
194,25360,0.0295,0.2218,0.024532
194,25361,0.02475,0.2218,0.024532
197,25384,0.059,0.2218,0.024532
197,25385,0.04,0.2218,0.024532
197,25386,0.05425,0.2218,0.024532
197,25387,0.0495,0.2218,0.024532
197,25388,0.04475,0.2218,0.024532
200,24466,0.019,0.077804,0.024705
200,24467,0.0,0.077804,0.024705
200,24468,0.01425,0.077804,0.024705
200,24469,0.0095,0.077804,0.024705
200,24470,0.00475,0.077804,0.024705
203,24403,0.039,0.077804,0.024705
203,24404,0.02,0.077804,0.024705
203,24405,0.03425,0.077804,0.024705
203,24406,0.0295,0.077804,0.024705
203,24407,0.02475,0.077804,0.024705
206,24394,0.059,0.077804,0.024705
206,24395,0.04,0.077804,0.024705
206,24396,0.05425,0.077804,0.024705
206,24397,0.0495,0.077804,0.024705
206,24398,0.04475,0.077804,0.024705
209,25087,0.019,0.1778,0.024705
209,25088,0.0,0.1778,0.024705
209,25089,0.01425,0.1778,0.024705
209,25090,0.0095,0.1778,0.024705
209,25091,0.00475,0.1778,0.024705
212,25078,0.039,0.1778,0.024705
212,25079,0.02,0.1778,0.024705
212,25080,0.03425,0.1778,0.024705
212,25081,0.0295,0.1778,0.024705
212,25082,0.02475,0.1778,0.024705
215,25069,0.059,0.1778,0.024705
215,25070,0.04,0.1778,0.024705
215,25071,0.05425,0.1778,0.024705
215,25072,0.0495,0.1778,0.024705
215,25073,0.04475,0.1778,0.024705
218,25492,0.019,0.2778,0.024705
218,25493,0.0,0.2778,0.024705
218,25494,0.01425,0.2778,0.024705
218,25495,0.0095,0.2778,0.024705
218,25496,0.00475,0.2778,0.024705
221,25483,0.039,0.2778,0.024705
221,25484,0.02,0.2778,0.024705
221,25485,0.03425,0.2778,0.024705
221,25486,0.0295,0.2778,0.024705
221,25487,0.02475,0.2778,0.024705
224,25474,0.059,0.2778,0.024705
224,25475,0.04,0.2778,0.024705
224,25476,0.05425,0.2778,0.024705
224,25477,0.0495,0.2778,0.024705
224,25478,0.04475,0.2778,0.024705
227,24655,0.019,0.028803,0.027198
227,24656,0.0,0.028803,0.027198
227,24657,0.01425,0.028803,0.027198
227,24658,0.0095,0.028803,0.027198
227,24659,0.00475,0.028803,0.027198
230,24646,0.039,0.028803,0.027198
230,24647,0.02,0.028803,0.027198
230,24648,0.03425,0.028803,0.027198
230,24649,0.0295,0.028803,0.027198
230,24650,0.02475,0.028803,0.027198
233,24637,0.059,0.028803,0.027198
233,24638,0.04,0.028803,0.027198
233,24639,0.05425,0.028803,0.027198
233,24640,0.0495,0.028803,0.027198
233,24641,0.04475,0.028803,0.027198
236,24826,0.019,0.1288,0.027198
236,24827,0.0,0.1288,0.027198
236,24828,0.01425,0.1288,0.027198
236,24829,0.0095,0.1288,0.027198
236,24830,0.00475,0.1288,0.027198
239,24871,0.039,0.1288,0.027198
239,24872,0.02,0.1288,0.027198
239,24873,0.03425,0.1288,0.027198
239,24874,0.0295,0.1288,0.027198
239,24875,0.02475,0.1288,0.027198
242,24934,0.059,0.1288,0.027198
242,24935,0.04,0.1288,0.027198
242,24936,0.05425,0.1288,0.027198
242,24937,0.0495,0.1288,0.027198
242,24938,0.04475,0.1288,0.027198
245,25249,0.019,0.2288,0.027198
245,25250,0.0,0.2288,0.027198
245,25251,0.01425,0.2288,0.027198
245,25252,0.0095,0.2288,0.027198
245,25253,0.00475,0.2288,0.027198
248,25348,0.039,0.2288,0.027198
248,25349,0.02,0.2288,0.027198
248,25350,0.03425,0.2288,0.027198
248,25351,0.0295,0.2288,0.027198
248,25352,0.02475,0.2288,0.027198
251,25393,0.059,0.2288,0.027198
251,25394,0.04,0.2288,0.027198
251,25395,0.05425,0.2288,0.027198
251,25396,0.0495,0.2288,0.027198
251,25397,0.04475,0.2288,0.027198
254,24520,0.019,0.070803,0.027323
254,24521,0.0,0.070803,0.027323
254,24522,0.01425,0.070803,0.027323
254,24523,0.0095,0.070803,0.027323
254,24524,0.00475,0.070803,0.027323
257,24475,0.039,0.070803,0.027323
257,24476,0.02,0.070803,0.027323
257,24477,0.03425,0.070803,0.027323
257,24478,0.0295,0.070803,0.027323
257,24479,0.02475,0.070803,0.027323
260,24484,0.059,0.070803,0.027323
260,24485,0.04,0.070803,0.027323
260,24486,0.05425,0.070803,0.027323
260,24487,0.0495,0.070803,0.027323
260,24488,0.04475,0.070803,0.027323
263,25042,0.019,0.1708,0.027323
263,25043,0.0,0.1708,0.027323
263,25044,0.01425,0.1708,0.027323
263,25045,0.0095,0.1708,0.027323
263,25046,0.00475,0.1708,0.027323
266,25051,0.039,0.1708,0.027323
266,25052,0.02,0.1708,0.027323
266,25053,0.03425,0.1708,0.027323
266,25054,0.0295,0.1708,0.027323
266,25055,0.02475,0.1708,0.027323
269,25060,0.059,0.1708,0.027323
269,25061,0.04,0.1708,0.027323
269,25062,0.05425,0.1708,0.027323
269,25063,0.0495,0.1708,0.027323
269,25064,0.04475,0.1708,0.027323
272,25465,0.019,0.2708,0.027323
272,25466,0.0,0.2708,0.027323
272,25467,0.01425,0.2708,0.027323
272,25468,0.0095,0.2708,0.027323
272,25469,0.00475,0.2708,0.027323
275,25456,0.039,0.2708,0.027323
275,25457,0.02,0.2708,0.027323
275,25458,0.03425,0.2708,0.027323
275,25459,0.0295,0.2708,0.027323
275,25460,0.02475,0.2708,0.027323
278,25447,0.059,0.2708,0.027323
278,25448,0.04,0.2708,0.027323
278,25449,0.05425,0.2708,0.027323
278,25450,0.0495,0.2708,0.027323
278,25451,0.04475,0.2708,0.027323
281,24619,0.019,0.035803,0.029044
281,24620,0.0,0.035803,0.029044
281,24621,0.01425,0.035803,0.029044
281,24622,0.0095,0.035803,0.029044
281,24623,0.00475,0.035803,0.029044
284,24610,0.039,0.035803,0.029044
284,24611,0.02,0.035803,0.029044
284,24612,0.03425,0.035803,0.029044
284,24613,0.0295,0.035803,0.029044
284,24614,0.02475,0.035803,0.029044
287,24628,0.059,0.035803,0.029044
287,24629,0.04,0.035803,0.029044
287,24630,0.05425,0.035803,0.029044
287,24631,0.0495,0.035803,0.029044
287,24632,0.04475,0.035803,0.029044
290,24835,0.019,0.1358,0.029044
